__typename,dateString,countryCode,countryName,postingType,value
HiringLabNationalPosting,2020-12-22,US,United States,TOTAL,94.49
HiringLabNationalPosting,2020-12-23,US,United States,TOTAL,94.28
HiringLabNationalPosting,2020-12-24,US,United States,TOTAL,94.12
HiringLabNationalPosting,2020-12-25,US,United States,TOTAL,93.89
HiringLabNationalPosting,2020-12-26,US,United States,TOTAL,93.66
HiringLabNationalPosting,2020-12-27,US,United States,TOTAL,93.43
HiringLabNationalPosting,2020-12-28,US,United States,TOTAL,93.24
HiringLabNationalPosting,2020-12-29,US,United States,TOTAL,93.06
HiringLabNationalPosting,2020-12-30,US,United States,TOTAL,92.97
HiringLabNationalPosting,2020-12-31,US,United States,TOTAL,92.86
HiringLabNationalPosting,2021-01-01,US,United States,TOTAL,92.67
HiringLabNationalPosting,2021-01-02,US,United States,TOTAL,92.42
HiringLabNationalPosting,2021-01-03,US,United States,TOTAL,92.19
HiringLabNationalPosting,2021-01-04,US,United States,TOTAL,91.97
HiringLabNationalPosting,2021-01-05,US,United States,TOTAL,91.8
HiringLabNationalPosting,2021-01-06,US,United States,TOTAL,91.82
HiringLabNationalPosting,2021-01-07,US,United States,TOTAL,91.96
HiringLabNationalPosting,2021-01-08,US,United States,TOTAL,92.4
HiringLabNationalPosting,2021-01-09,US,United States,TOTAL,92.94
HiringLabNationalPosting,2021-01-10,US,United States,TOTAL,93.62
HiringLabNationalPosting,2021-01-11,US,United States,TOTAL,94.29
HiringLabNationalPosting,2021-01-12,US,United States,TOTAL,94.87
HiringLabNationalPosting,2021-01-13,US,United States,TOTAL,95.26
HiringLabNationalPosting,2021-01-14,US,United States,TOTAL,95.71
HiringLabNationalPosting,2021-01-15,US,United States,TOTAL,96.04
HiringLabNationalPosting,2021-01-16,US,United States,TOTAL,96.42
HiringLabNationalPosting,2021-01-17,US,United States,TOTAL,96.63
HiringLabNationalPosting,2021-01-18,US,United States,TOTAL,96.83
HiringLabNationalPosting,2021-01-19,US,United States,TOTAL,97.1
HiringLabNationalPosting,2021-01-20,US,United States,TOTAL,97.39
HiringLabNationalPosting,2021-01-21,US,United States,TOTAL,97.57
HiringLabNationalPosting,2021-01-22,US,United States,TOTAL,97.74
HiringLabNationalPosting,2021-01-23,US,United States,TOTAL,97.71
HiringLabNationalPosting,2021-01-24,US,United States,TOTAL,97.93
HiringLabNationalPosting,2021-01-25,US,United States,TOTAL,98.17
HiringLabNationalPosting,2021-01-26,US,United States,TOTAL,98.41
HiringLabNationalPosting,2021-01-27,US,United States,TOTAL,98.62
HiringLabNationalPosting,2021-01-28,US,United States,TOTAL,98.99
HiringLabNationalPosting,2021-01-29,US,United States,TOTAL,99.3
HiringLabNationalPosting,2021-01-30,US,United States,TOTAL,99.82
HiringLabNationalPosting,2021-01-31,US,United States,TOTAL,100.18
HiringLabNationalPosting,2021-02-01,US,United States,TOTAL,100.5
HiringLabNationalPosting,2021-02-02,US,United States,TOTAL,100.85
HiringLabNationalPosting,2021-02-03,US,United States,TOTAL,101.09
HiringLabNationalPosting,2021-02-04,US,United States,TOTAL,101.1
HiringLabNationalPosting,2021-02-05,US,United States,TOTAL,101.4
HiringLabNationalPosting,2021-02-06,US,United States,TOTAL,101.56
HiringLabNationalPosting,2021-02-07,US,United States,TOTAL,101.78
HiringLabNationalPosting,2021-02-08,US,United States,TOTAL,101.99
HiringLabNationalPosting,2021-02-09,US,United States,TOTAL,102.21
HiringLabNationalPosting,2021-02-10,US,United States,TOTAL,102.58
HiringLabNationalPosting,2021-02-11,US,United States,TOTAL,103.1
HiringLabNationalPosting,2021-02-12,US,United States,TOTAL,103.42
HiringLabNationalPosting,2021-02-13,US,United States,TOTAL,103.79
HiringLabNationalPosting,2021-02-14,US,United States,TOTAL,104.1
HiringLabNationalPosting,2021-02-15,US,United States,TOTAL,104.44
HiringLabNationalPosting,2021-02-16,US,United States,TOTAL,104.7
HiringLabNationalPosting,2021-02-17,US,United States,TOTAL,104.87
HiringLabNationalPosting,2021-02-18,US,United States,TOTAL,105.07
HiringLabNationalPosting,2021-02-19,US,United States,TOTAL,105.24
HiringLabNationalPosting,2021-02-20,US,United States,TOTAL,105.28
HiringLabNationalPosting,2021-02-21,US,United States,TOTAL,105.48
HiringLabNationalPosting,2021-02-22,US,United States,TOTAL,105.67
HiringLabNationalPosting,2021-02-23,US,United States,TOTAL,105.91
HiringLabNationalPosting,2021-02-24,US,United States,TOTAL,106.23
HiringLabNationalPosting,2021-02-25,US,United States,TOTAL,106.54
HiringLabNationalPosting,2021-02-26,US,United States,TOTAL,106.85
HiringLabNationalPosting,2021-02-27,US,United States,TOTAL,107.29
HiringLabNationalPosting,2021-02-28,US,United States,TOTAL,107.62
HiringLabNationalPosting,2021-03-01,US,United States,TOTAL,107.82
HiringLabNationalPosting,2021-03-02,US,United States,TOTAL,108.01
HiringLabNationalPosting,2021-03-03,US,United States,TOTAL,108.25
HiringLabNationalPosting,2021-03-04,US,United States,TOTAL,108.56
HiringLabNationalPosting,2021-03-05,US,United States,TOTAL,108.93
HiringLabNationalPosting,2021-03-06,US,United States,TOTAL,109.2
HiringLabNationalPosting,2021-03-07,US,United States,TOTAL,109.55
HiringLabNationalPosting,2021-03-08,US,United States,TOTAL,110.03
HiringLabNationalPosting,2021-03-09,US,United States,TOTAL,110.56
HiringLabNationalPosting,2021-03-10,US,United States,TOTAL,110.98
HiringLabNationalPosting,2021-03-11,US,United States,TOTAL,111.4
HiringLabNationalPosting,2021-03-12,US,United States,TOTAL,111.78
HiringLabNationalPosting,2021-03-13,US,United States,TOTAL,112.37
HiringLabNationalPosting,2021-03-14,US,United States,TOTAL,112.78
