,label,lag,mae,rmse,model_path
24,"Job Openings: Financial activities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.8794309642305187,1.0109518479423185,models_prophet/openings/prophet_Job_Openings_Financial_activities__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
25,"Job Openings: Financial activities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.8810659608457859,1.0123617468553079,models_prophet/openings/prophet_Job_Openings_Financial_activities__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
26,"Job Openings: Financial activities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.8908981935121801,1.0209656256571817,models_prophet/openings/prophet_Job_Openings_Financial_activities__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
27,"Job Openings: Financial activities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.8651745071505857,0.9985223032665996,models_prophet/openings/prophet_Job_Openings_Financial_activities__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
28,"Job Openings: Government - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,1.1787232273527286,1.1836626525508698,models_prophet/openings/prophet_Job_Openings_Government__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
29,"Job Openings: Government - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,1.1695099614247375,1.1744647076685526,models_prophet/openings/prophet_Job_Openings_Government__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
30,"Job Openings: Government - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,1.1720367770957487,1.1769931546246724,models_prophet/openings/prophet_Job_Openings_Government__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
31,"Job Openings: Government - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,1.1639629671754674,1.1689301760709687,models_prophet/openings/prophet_Job_Openings_Government__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
32,"Job Openings: Health care and social assistance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,2.1671651385446062,2.247567450889949,models_prophet/openings/prophet_Job_Openings_Health_care_and_social_assistance__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
33,"Job Openings: Health care and social assistance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,2.1696692294946787,2.2499754093483957,models_prophet/openings/prophet_Job_Openings_Health_care_and_social_assistance__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
34,"Job Openings: Health care and social assistance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,2.1549799125450475,2.2357787314127737,models_prophet/openings/prophet_Job_Openings_Health_care_and_social_assistance__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
35,"Job Openings: Health care and social assistance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,2.169869183343375,2.250163634664795,models_prophet/openings/prophet_Job_Openings_Health_care_and_social_assistance__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
36,"Job Openings: Information - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.7063595463900002,0.7586888692254795,models_prophet/openings/prophet_Job_Openings_Information__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
37,"Job Openings: Information - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.6887341139670843,0.7422409307526603,models_prophet/openings/prophet_Job_Openings_Information__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
38,"Job Openings: Information - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.697051175261023,0.7499895896231338,models_prophet/openings/prophet_Job_Openings_Information__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
39,"Job Openings: Information - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.7210464691728659,0.7724448555901917,models_prophet/openings/prophet_Job_Openings_Information__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
40,"Job Openings: Leisure and hospitality - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,2.1174176737561603,2.1759217534484145,models_prophet/openings/prophet_Job_Openings_Leisure_and_hospitality__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
41,"Job Openings: Leisure and hospitality - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,2.0699653649412046,2.1295392450456756,models_prophet/openings/prophet_Job_Openings_Leisure_and_hospitality__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
42,"Job Openings: Leisure and hospitality - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,2.080648464290537,2.140033776174958,models_prophet/openings/prophet_Job_Openings_Leisure_and_hospitality__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
43,"Job Openings: Leisure and hospitality - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,2.0660515305590867,2.125714417757381,models_prophet/openings/prophet_Job_Openings_Leisure_and_hospitality__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
44,"Job Openings: Manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,1.9812012256537253,1.9848543121552826,models_prophet/openings/prophet_Job_Openings_Manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
45,"Job Openings: Manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,1.981899255223067,1.9855513682143955,models_prophet/openings/prophet_Job_Openings_Manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
46,"Job Openings: Manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,1.9858634490408458,1.9895078014898773,models_prophet/openings/prophet_Job_Openings_Manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
47,"Job Openings: Manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,1.9843014180819747,1.9879488205177542,models_prophet/openings/prophet_Job_Openings_Manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
