label,lag,mae,rmse,order,model_path
"Job Openings: Private education and health services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.3467170148367802,0.41774847329017106,"(2, 1, 5)",models_arima/openings/arima_Job_Openings_Private_education_and_health_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Private education and health services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.3303293750699167,0.4149182275400424,"(2, 1, 2)",models_arima/openings/arima_Job_Openings_Private_education_and_health_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Private education and health services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.33322685442023087,0.42138681370849423,"(2, 1, 2)",models_arima/openings/arima_Job_Openings_Private_education_and_health_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Private education and health services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.3329786643182096,0.42082654362646016,"(2, 1, 2)",models_arima/openings/arima_Job_Openings_Private_education_and_health_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Private educational services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.6056870314425119,0.6677978753184713,"(0, 1, 1)",models_arima/openings/arima_Job_Openings_Private_educational_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Private educational services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.6056739818256546,0.6677860394488384,"(0, 1, 1)",models_arima/openings/arima_Job_Openings_Private_educational_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Private educational services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.6056324175864202,0.6677483414084936,"(0, 1, 1)",models_arima/openings/arima_Job_Openings_Private_educational_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Private educational services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.6056324047115395,0.6677483297312724,"(0, 1, 1)",models_arima/openings/arima_Job_Openings_Private_educational_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Professional and business services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.33001402445343525,0.5299412242042602,"(1, 1, 0)",models_arima/openings/arima_Job_Openings_Professional_and_business_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Professional and business services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.33146043328089475,0.5310966230769713,"(1, 1, 0)",models_arima/openings/arima_Job_Openings_Professional_and_business_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Professional and business services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.32996191113429646,0.5298997371787506,"(1, 1, 0)",models_arima/openings/arima_Job_Openings_Professional_and_business_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Professional and business services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.3310132839025561,0.5307386380771116,"(1, 1, 0)",models_arima/openings/arima_Job_Openings_Professional_and_business_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Real estate and rental and leasing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.8416666666666667,1.0012507637182133,"(0, 1, 1)",models_arima/openings/arima_Job_Openings_Real_estate_and_rental_and_leasing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Real estate and rental and leasing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.8416666666666667,1.001104800459933,"(0, 1, 1)",models_arima/openings/arima_Job_Openings_Real_estate_and_rental_and_leasing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Real estate and rental and leasing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.8416666666666667,1.0012356556262108,"(0, 1, 1)",models_arima/openings/arima_Job_Openings_Real_estate_and_rental_and_leasing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Real estate and rental and leasing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.8416666666666667,1.0020743905046534,"(0, 1, 1)",models_arima/openings/arima_Job_Openings_Real_estate_and_rental_and_leasing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Retail trade - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.3694976684828095,0.465879033553111,"(2, 1, 2)",models_arima/openings/arima_Job_Openings_Retail_trade__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Retail trade - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.37011052983635767,0.4666913157485286,"(2, 1, 2)",models_arima/openings/arima_Job_Openings_Retail_trade__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Retail trade - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.37011466725190334,0.4666967263441157,"(2, 1, 2)",models_arima/openings/arima_Job_Openings_Retail_trade__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Retail trade - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.36486736157030775,0.45980865162963463,"(2, 1, 2)",models_arima/openings/arima_Job_Openings_Retail_trade__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: State and local - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.26429860635240093,0.3071969257466753,"(1, 1, 2)",models_arima/openings/arima_Job_Openings_State_and_local__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: State and local - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.4015459772655447,0.43822005575609957,"(0, 1, 2)",models_arima/openings/arima_Job_Openings_State_and_local__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: State and local - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.40162246392111745,0.4383027509116306,"(0, 1, 2)",models_arima/openings/arima_Job_Openings_State_and_local__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: State and local - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.4017127715709999,0.43839254892870766,"(0, 1, 2)",models_arima/openings/arima_Job_Openings_State_and_local__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: State and local government education - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.13012277974306793,0.1514346903069067,"(0, 1, 1)",models_arima/openings/arima_Job_Openings_State_and_local_government_education__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: State and local government education - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.13005079557180307,0.15137139668878308,"(0, 1, 1)",models_arima/openings/arima_Job_Openings_State_and_local_government_education__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: State and local government education - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.13009155666383612,0.15140708869473163,"(0, 1, 1)",models_arima/openings/arima_Job_Openings_State_and_local_government_education__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: State and local government education - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.1300166610805236,0.15134180478054926,"(0, 1, 1)",models_arima/openings/arima_Job_Openings_State_and_local_government_education__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: State and local government, excluding education - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.8067296595783958,0.8532943079378331,"(1, 1, 2)",models_arima/openings/arima_Job_Openings_State_and_local_government_excluding_education__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
